"","Firms","Date","CA_0","CA_1","CA_2","VCD_0","VCD_1","VCD_2","KZ","Oscore","size","BM","CER64","BHAR_1","BHAR_2","BHAR_3","CER31"
"1","Chrysalis Ltd.","03.02.00",-20492,31077,-4584,-8107,28540,15401,"-0.156644679","1.127665466","244.98","0.027762354","-0.029467699","-0.154615106","-0.16318359","-0.11435771","0.908020404"
"2","JD Wetherspoon Plc","03.02.00",1006,-14865,-11685,83586,102771,116916,"1.200207449","-3.233856181","632.3","0.420168067","0.043461995","-0.172530493","0.095288174","-0.276135284","0.275382634"
"3","Scottish Radio Holdings Plc","17.02.00",-1500,-13752,1900,5969,13415,6300,"0.382500427","-1.373559688","274.52","0.168350168","-0.260149647","0.50122003","0.22933703","0.190424725","-0.180092633"
"4","AFA Systems Plc","02.03.00",370,700,358,545,797,3222,"0.045361594","-1.00750695","22.15","0.21978022","0.270160834","-0.217102676","-0.166387111","-0.191464395","0.690472293"
"5","Guardian iT Plc","13.03.00",1076,-22816,25936,10377,28748,27466,"2.180511263","-0.814286014","342.47","-0.003263282","0.26562146","-0.308357696","-0.761048621","-0.574313523","0.385291701"
"6","On-Line Plc","04.04.00",10,-599,62,301,-228,437,"0.126449297","-4.036661564","5.46","0.740740741","0.430336642","-0.402761031","-0.338251809","-0.259120523","1.145796701"
"7","ASM International NV","07.04.00",22144,65438,27251,61463,431212,-276246,"-0.57559726","-2.167462156","242.81","0.22675737","1.014343073","-0.313359118","0.059528697","-0.081214692","0.410356006"
"8","Gyrus Group Ltd.","17.04.00",1142,11045,1983,3399,4776,25335,"0.58412492","-2.456024382","53.46","0.649350649","0.378145849","-0.024625126","-0.031584698","-0.059455568","0.318609303"
"9","Sportsworld Media Group Plc","20.04.00",1181,-35803,1984,1007,2406,9322,"0.089800872","-5.02471906","36.41","2.272727273","0.942589813","-0.188574901","-0.844239115","-0.858968001","0.080493774"
"10","SciSys Plc","28.04.00",-1968,11411,-3267,5049,5117,17585,"0.038588895","-0.633565553","37.14","0.106496273","-0.199177309","0.246344594","0.349314424","0.161299447","0.609996468"
"11","Fibernet Group Plc","04.07.00",-7348,2222,-11669,1838,20768,4410,"2.317279752","0.927015514","192.55","0.049726504","0.203784847","-0.680166147","-0.737060199","-0.604409606","0.095540607"
"12","Flomerics Group Plc","06.07.00",-174,368,-358,1031,1888,1985,"-1.176896794","-1.93285345","6.47","0.343642612","0.919382821","0.075372454","-0.02635598","-0.025059428","0.171784285"
"13","Energis Plc","28.09.00",-54887,-45046,13611,123215,128034,243831,"2.682591561","-2.131518576","4609.92","0.161550889","0.013468339","-0.659615545","-0.645632531","-0.645632531","0.095091612"
"14","Powderject Pharmaceuticals Plc","04.10.00",57711,-19880,14895,5582,-4028,22929,"0.90328307","-3.347677087","644.37","0.102880658","-0.333326431","-0.115122902","-0.086426944","0.330192449","0.391710378"
"15","London Bridge Software Holdings Plc","11.10.00",7546,15354,4674,20149,10594,10515,"1.155925277","-4.890624842","641.41","0.096525097","-0.318866567","-0.608397737","-0.597582116","-0.59936152","0.259597211"
"16","Baltimore Technologies Plc","25.10.00",-2097,5705,-9718,4027,1353,30551,"-0.183796807","-4.513872232","275.69","0.427350427","0.044668848","-0.76941625","-0.57831467","-0.684157464","-0.063546392"
"17","Informa Switzerland Ltd.","13.03.01",-2464,-4300,-3614,49986,36301,-30755,"0.774233079","-0.319777866","874.41","-0.019171779","-0.209815077","-0.486535626","-0.389051511","-0.216085848","0.019744864"
"18","The Television Corp. Plc","04.05.01",-6853,1168,-6661,5773,35817,-4958,"-0.584705577","-2.025399724","87.28","0.37593985","0.008327472","-0.383856761","-0.442867008","-0.592167523","0.201504402"
"19","Morgan Sindall Group Plc","11.06.01",7290,-29713,15613,108189,216973,109530,"-1.510675167","-1.335708858","101.83","0.395256917","0.441188524","0.037547226","-0.148282607","0.202208963","0.154206118"
"20","Cranswick Plc","03.08.01",905,1046,-17958,16586,34420,27097,"-1.205758265","-2.961583491","63.95","0.617283951","0.045723391","1.194722398","1.029745295","0.673233962","0.272203026"
"21","Dana Petroleum Ltd.","27.09.01",669,-605,-3625,10805,-5654,3341,"0.285408067","-5.214493904","116.54","0.862068966","0.135142378","0.328298134","0.556387034","0.972360418","0.006248058"
"22","Rexam Ltd.","12.12.01",65000,-187000,-40000,309000,652000,-88000,"0.867499002","-2.098295764","1005.59","0.555555556","0.281093244","0.272600015","0.352474885","0.336140656","0.025733355"
"23","Jurys Doyle Hotel Group Ltd.","20.02.02",14457,-11972,-1609,33402,22890,-19681,"0.935409184","-2.778086854","576.69","1.515151515","-0.177155913","0.105604175","0.224862673","0.449041414","0.21077323"
"24","BPB Plc","18.03.02",10100,-7400,-27700,112300,78000,189400,"-0.643269988","-3.457825458","1151.23","0.675675676","0.1449225","0.02635067","0.126296671","0.453383947","0.176795118"
"25","The Maiden Group Plc","22.04.02",2010,-589,-34206,2123,1524,3676,"0.329982808","0.686295037","180.69","0.022920009","0.108207204","-0.200169422","-0.148842234","-0.348565953","0.153371781"
"26","Cobham Plc","09.07.03",52800,-4000,-23900,11200,85700,109300,"-0.639260014","-3.529693946","958.31","0.371747212","0.035979635","0.04575177","-0.04427223","-0.023336536","-0.029567781"
"27","Belhaven Brewery Co. Ltd.","16.07.03",4724,778,-2390,12765,10144,15729,"0.477322357","-2.111618468","72.94","0.653594771","-0.088020688","0.200451812","0.080291361","0.433190381","0.025431612"
"28","Cosalt Plc","04.08.03",-1776,8848,-1886,23874,6745,-2543,"-1.549904856","-2.020180023","35.28","0.78125","-0.024984482","-0.085420778","-0.49900913","-0.631482857","0.124165968"
"29","Ei Group Plc","05.03.04",-24000,-63600,-24000,121200,190400,222300,"1.332170629","1.038508357","1503.96","0.71942446","0.092435395","0.075972964","0.188165292","0.646864229","0.20152532"
"30","Chemring Group Plc","11.03.04",-1002,71,15563,20292,14879,3107,"-0.389938031","-2.187887705","107.41","0.497512438","-0.111736721","-0.048319161","1.051726356","2.420504647","0.100434426"
"31","AVEVA Group Plc","21.04.04",3389,-588,-4001,1783,1530,8606,"-1.443851961","-4.396707775","80.38","0.261780105","-0.031460416","0.264108006","0.798960025","3.433833723","-0.069835252"
"32","Inter Link Foods Plc","03.11.04",-106,3845,-2876,1891,16063,19964,"0.108116739","-1.50181204","37.64","0.546448087","0.051231561","0.198705906","-0.124816382","-1.086853834","0.029023207"
